文档章节	Wiki 页面	处理方式
超快激光基础理论	Laser:超快激光基础理论	新增原理页
高功率超短脉冲激光链路理论	Laser:高功率超短脉冲激光链路理论	新增原理页
脉冲表征与超快诊断理论	Diagnostic:脉冲表征与超快诊断理论	新增原理页
波前控制、自适应光学与聚焦理论	Laser:波前控制、自适应光学与聚焦理论	新增原理页
高功率激光实验常用光学元件与器件原理	Laser:高功率激光常用光学元件与器件原理	新增原理页
激光–等离子体相互作用基础理论	Theory:激光-等离子体相互作用基础	新增过渡页
激光离子加速主要机制与理论模型	Theory:激光等离子体加速总览	仅补入口与上游链接
前沿问题、理论争议与未来方向	Theory:尺度律与开放问题	保留现有高阶页口径
CPA/OPCPA 比较表	Laser:高功率超短脉冲激光链路理论	转为 wiki 表格
自相关/FROG/SPIDER 比较表	Diagnostic:脉冲表征与超快诊断理论	转为 wiki 表格
